,Insertion Sort,Selection Sort
179,8020000,407801000
180,0,360002000
181,0,364994000
182,0,368390000
183,0,367993000
184,0,376118000
185,0,376002000
186,0,382963000
187,8003000,376325000
188,0,360000000
189,8000000,368007000
190,8003000,375995000
191,7999000,400013000
192,8185000,395395000
193,7996000,391980000
194,0,433904000
195,8037000,424969000
196,0,438436000
197,8012000,472464000
198,0,463968000
199,7994000,513885000
200,8051000,510741000
201,0,595731000
202,0,539030000
203,0,505780000
204,0,468555000
205,0,431999000
206,8002000,441393000
207,8006000,461665000
208,0,452391000
209,0,866455000
210,8531000,1229834000
211,15883000,1185213000
212,7986000,1220500000
213,7978000,1195296000
214,7962000,1183445000
215,8020000,1217343000
216,8098000,1209108000
217,7983000,1230894000
218,8027000,1252824000
219,8001000,1272466000
220,7984000,1291767000
221,7982000,1314451000
222,11793000,1287124000
223,7400000,1315779000
224,7999000,1325152000
225,15900000,1312079000
226,16008000,1334746000
227,10629000,1327884000
228,8279000,1378228000
229,8953000,1373788000
230,3102000,1375709000
231,16093000,1405521000
232,7977000,1409662000
233,7960000,1418214000
234,4900000,1427361000
235,8024000,1456855000
236,8127000,1453533000
237,7998000,1479717000
238,8018000,1484621000
239,16005000,1503976000
240,16000000,1490488000
241,16135000,1529447000
242,7998000,1536904000
243,8010000,1568488000
244,8019000,1556328000
245,8036000,1559662000
246,7983000,1587674000
247,8000000,1575513000
248,15966000,1631352000
249,7969000,1610558000
250,8002000,1642408000
251,8228000,1680886000
252,8022000,1688871000
253,15471000,1807457000
254,16203000,1875961000
255,16888000,1906137000
256,16128000,1149717000
257,0,730974000
258,7998000,802050000
259,7886000,833924000
260,8000000,755253000
261,8002000,816173000
262,0,722170000
263,0,976335000
264,8012000,865348000
265,0,772285000
266,8007000,1080373000
267,8407000,1053281000
268,0,1039218000
269,0,860987000
270,0,869349000
271,8002000,828076000
272,7996000,827538000
273,7990000,792582000
274,0,809750000
275,7999000,832879000
276,8007000,841809000
277,0,816967000
278,8002000,881751000
279,5712000,810848000
280,7988000,833201000
281,7987000,832613000
282,7990000,831997000
283,7999000,824010000
284,0,871897000
285,0,864861000
286,0,839999000
287,0,856003000
288,7997000,864152000
289,8000000,857380000
290,0,880869000
291,0,872004000
292,0,880506000
293,7999000,867053000
294,8001000,898276000
295,0,891075000
296,7504000,899036000
297,8003000,905889000
298,8000000,938122000
299,7998000,905872000
300,0,932651000
301,7999000,965325000
302,7998000,931426000
303,0,948642000
304,7999000,962537000
305,8032000,1048657000
306,8002000,1014756000
307,0,5819622000
308,0,1068667000
309,0,1052571000
310,7983000,1025595000
311,0,1035368000
312,8674000,2606204000
313,16000000,2628794000
314,16173000,2670727000
315,15886000,2665623000
316,7980000,2718703000
317,8197000,2753414000
318,16009000,2819058000
319,8018000,2750350000
320,16297000,1854029000
321,7993000,1302675000
322,8022000,1347584000
323,8001000,1269738000
324,0,1224927000
325,8001000,1187089000
326,8091000,1143909000
327,8084000,1152479000
328,8000000,1144415000
329,0,1178161000
330,7989000,1208724000
331,0,1192695000
332,8011000,1177690000
333,7983000,1208803000
334,0,1314894000
335,8000000,1380303000
336,7995000,1260146000
337,8087000,1208219000
338,7911000,1224877000
339,0,1347507000
340,7998000,1296182000
341,0,1265169000
342,8003000,1248485000
343,0,1313872000
344,7988000,1281205000
345,7997000,1313117000
346,8000000,1353891000
347,7996000,1291151000
348,8090000,1280552000
349,7912000,1320227000
350,7994000,1296634000
351,0,1330178000
352,8006000,1328919000
353,8007000,1345700000
354,8000000,1328006000
355,7995000,1375417000
356,8086000,1321392000
357,8090000,1385652000
