Block	MerSort	QuickSort	Swaps
532	0.000000	0.010000	133132376
533	0.000000	0.008000	133627596
534	0.008000	0.008000	134120451
535	0.000000	0.016000	134617914
536	0.008000	0.000000	135143846
537	0.008000	0.008000	135684119
538	0.012000	0.005000	136224428
539	0.009000	0.000000	136728662
540	0.007000	0.009000	137289487
541	0.007000	0.000000	137902076
542	0.008000	0.008000	138422466
543	0.008000	0.008000	138991555
544	0.008000	0.008000	139532524
545	0.008000	0.008000	140135613
546	0.008000	0.008000	140701900
547	0.016000	0.008000	141237841
548	0.008000	0.000000	141789617
549	0.008000	0.008000	142332766
550	0.016000	0.000000	142833648
551	0.053000	0.009000	143395242
552	0.008000	0.008000	143900423
553	0.008000	0.000000	144463130
554	0.008000	0.008000	145003306
555	0.008000	0.014000	145543110
556	0.008000	0.008000	146065884
557	0.008000	0.000000	146665483
558	0.008000	0.000000	147232426
559	0.007000	0.009000	147736295
560	0.010000	0.007000	148262204
561	0.000000	0.008000	148771041
562	0.008000	0.008000	149272319
563	0.016000	0.016000	149865223
564	0.008000	0.008000	150390277
565	0.013000	0.007000	150930671
566	0.007000	0.009000	151468090
567	0.008000	0.007000	152010697
568	0.008000	0.006000	152599565
569	0.010000	0.005000	153114147
570	0.008000	0.000000	153626109
571	0.010000	0.010000	154173242
572	0.005000	0.010000	154747765
573	0.008000	0.008000	155271189
574	0.010000	0.005000	155805204
575	0.007000	0.010000	156419643
576	0.010000	0.004000	156983097
577	0.016000	0.003000	157558557
578	0.009000	0.009000	158187026
579	0.010000	0.005000	158789629
580	0.017000	0.001000	159318974
581	0.009000	0.011000	159975174
582	0.010000	0.005000	160598915
583	0.010000	0.007000	161141362
584	0.008000	0.006000	161713157
585	0.008000	0.008000	162274247
586	0.006000	0.008000	162822689
587	0.008000	0.010000	163387567
588	0.010000	0.002000	163986489
589	0.010000	0.005000	164533721
590	0.002000	0.017000	165119505
591	0.008000	0.009000	165781958
592	0.007000	0.003000	166415583
593	0.009000	0.009000	167001396
594	0.009000	0.008000	167600465
595	0.010000	0.006000	168254506
596	0.008000	0.010000	168818153
597	0.008000	0.000000	169442206
598	0.010000	0.005000	170033859
599	0.009000	0.010000	170633429
600	0.008000	0.007000	171216918
601	0.008000	0.010000	171775757
602	0.008000	0.009000	172367178
603	0.014000	0.008000	172994334
604	0.006000	0.008000	173575876
605	0.010000	0.007000	174155954
606	0.012000	0.021000	174831869
607	0.008000	0.008000	175426748
608	0.008000	0.011000	175959017
609	0.017000	0.016000	176553904
610	0.008000	0.008000	177153445
611	0.007000	0.008000	177716484
612	0.008000	0.018000	178265287
613	0.008000	0.008000	178895064
614	0.016000	0.016000	179507976
615	0.016000	0.008000	180173121
616	0.008000	0.008000	180748050
617	0.008000	0.008000	181371023
618	0.016000	0.009000	181951206
619	0.008000	0.008000	182555040
620	0.016000	0.008000	183145252
621	0.008000	0.008000	183792502
622	0.008000	0.000000	184382963
623	0.009000	0.008000	185027548
624	0.012000	0.008000	185671349
625	0.008000	0.008000	186302459
626	0.016000	0.000000	186936197
627	0.016000	0.008000	187618613
628	0.008000	0.008000	188263213
629	0.008000	0.008000	188890701
630	0.008000	0.008000	189608695
631	0.008000	0.008000	190258024
632	0.008000	0.008000	190892051
633	0.008000	0.015000	191594641
634	0.008000	0.009000	192300336
635	0.008000	0.008000	192908829
636	0.008000	0.008000	193574478
637	0.008000	0.016000	194191938
638	0.008000	0.008000	194833752
639	0.009000	0.008000	195453297
640	0.008000	0.008000	196065406
641	0.008000	0.008000	196666202
642	0.008000	0.008000	197241459
643	0.008000	0.008000	197841965
644	0.008000	0.000000	198496308
645	0.016000	0.009000	199093316
646	0.007000	0.009000	199743449
647	0.008000	0.008000	200424288
648	0.016000	0.008000	201068861
649	0.008000	0.008000	201745888
650	0.016000	0.008000	202399090
651	0.016000	0.008000	203108801
652	0.015000	0.008000	203719915
653	0.016000	0.008000	204320955
654	0.016000	0.008000	204934951
655	0.016000	0.008000	205556366
656	0.016000	0.008000	206279264
657	0.016000	0.008000	206991588
658	0.008000	0.008000	207640103
659	0.008000	0.008000	208279484
660	0.008000	0.008000	209001894
661	0.008000	0.008000	209638628
662	0.010000	0.006000	210231338
663	0.016000	0.000000	210908977
664	0.008000	0.000000	211540412
665	0.008000	0.008000	212209933
666	0.015000	0.008000	212855694
